取引日,銘柄コード,銘柄名,規制,最高料率 臨時倍率,逆日歩(円),逆日歩(%),年率(%),最高料率(円),超過株数,貸借値段(円),品貸日数,日証金 買新規,日証金 買返済,日証金 買残高,日証金 売新規,日証金 売返済,日証金 売残高,日証金 差引残高,差引残高 出来高比(%),差引残高 前日比,前日比 出来高比(%),回転日数,貸借倍率,東証 出来高,東証 売買代金(円)
2020-12-28,7740,タムロン,,,,,,,,1854,,100,100,900,0,0,700,200,0.13,0,0,4.0,1.29,149100,273374500
2020-12-28,7741,ＨＯＹＡ,,,1.25,0.0088,0.6397,28.6,11900,14265,5,1100,4500,13400,5300,800,25300,-11900,-2.86,-7900,-1.90,8.5,0.53,415400,5925302500
2020-12-28,7743,シード,,,,,,,,601,,0,200,14000,200,300,11300,2700,5.25,-100,-0.19,27.0,1.24,51400,31141200
2020-12-28,7744,ノーリツ鋼機,,,,,,19.2,0,2362,,2200,3700,26000,500,100,26000,0,0,-1900,-0.93,32.8,1.00,205100,484878400
2020-12-28,7745,Ａ＆Ｄ,,,,,,,,1200,,3200,3700,63200,4000,0,8400,54800,13.33,-4500,-1.09,19.9,7.52,411100,493441800
2020-12-28,7746,岡本硝子,,,,,,,,202,,32900,800,256000,0,0,223900,32100,6.08,32100,6.08,10.7,1.14,527700,107121100
2020-12-28,7747,アサヒインテック,,,0,0,0,30.4,13700,3710,5,0,1600,8000,6600,0,21700,-13700,-3.32,-8200,-1.99,5.6,0.37,412300,1524604000
2020-12-28,7748,ホロン,,,,,,,,4650,,0,100,3900,0,0,0,3900,9.77,-100,-0.25,15.6,,39900,185321000
2020-12-28,7749,メディキット,,,,,,,,3255,,0,200,1500,0,0,0,1500,17.24,-200,-2.30,33.2,,8700,28206000
2020-12-28,7751,キヤノン,,,4,0.1977,14.4304,16.8,807800,2023.5,5,1000,445700,323400,823900,709700,1131200,-807800,-10.47,-558900,-7.24,5.1,0.29,7717700,15673779950
2020-12-28,7752,リコー,,,,,,,,666,,26300,0,339300,0,1500,5600,333700,18.36,27800,1.53,6.0,60.59,1817300,1213664400
2020-12-28,7758,セコニック,,,,,,,,990,,0,0,200,0,0,0,200,18.18,0,0,,,1100,1093300
2020-12-28,7760,ＩＭＶ,,,,,,,,617,,4600,2200,70700,0,0,0,70700,19.33,2400,0.66,12.9,,365700,229905800
2020-12-28,7762,シチズン時計,,,,,,1,0,294,,24100,131200,184800,0,107100,184800,0,0,0,0,4.6,1.00,1778300,520325300
2020-12-28,7768,ジェコー,,,,,,,,3260,,0,100,9000,0,0,0,9000,204.55,-100,-2.27,133.4,,4400,14317500
2020-12-28,7769,リズム,,,,,,,,632,,0,0,6400,100,0,2200,4200,53.16,-100,-1.27,21.2,2.91,7900,4982100
2020-12-28,7771,日本精密,,,,,,,,67,,100,1000,82500,0,0,0,82500,43.70,-900,-0.48,81.8,,188800,13104000
2020-12-28,7774,Ｊ・ＴＥＣ,,,,,,,,604,,200,1100,16200,0,0,0,16200,12.63,-900,-0.70,16.9,,128300,77563500
2020-12-28,7775,大研医器,,,,,,,,537,,400,0,7000,0,0,0,7000,6.72,400,0.38,5.8,,104200,55990500
2020-12-28,7776,セルシード,,,,,,,,225,,0,1000,36600,0,0,0,36600,13.23,-1000,-0.36,23.5,,276600,62985900
2020-12-28,7777,３Ｄマトリックス,,,,,,,,270,,4700,2100,146100,0,0,0,146100,15.84,2600,0.28,31.1,,922200,247507200
2020-12-28,7779,サイバダイン－議,,,,,,3.2,0,714,,33200,43400,857000,0,10200,857000,0,0,0,0,40.7,1.00,1759600,1266117700
2020-12-28,7780,メニコン,,,,,,12.6,0,6300,,300,300,4100,0,0,4100,0,0,0,0,29.3,1.00,82600,523400000
2020-12-28,7781,平山,,,,,,,,1198,,0,0,2300,0,0,0,2300,164.29,0,0,,,1400,1681700
2020-12-28,7782,シンシア,売禁,,40,6.1728,450.6173,11.2,169800,648,5,4900,300,8200,4600,3900,178000,-169800,-385.91,3900,8.86,3.8,0.05,44000,28512000
