取引日,銘柄コード,銘柄名,規制,最高料率 臨時倍率,逆日歩(円),逆日歩(%),年率(%),最高料率(円),超過株数,貸借値段(円),品貸日数,日証金 買新規,日証金 買返済,日証金 買残高,日証金 売新規,日証金 売返済,日証金 売残高,日証金 差引残高,差引残高 出来高比(%),差引残高 前日比,前日比 出来高比(%),回転日数,貸借倍率,東証 出来高,東証 売買代金(円)
2021-02-16,9005,東急,,,,,,,,1460,,2100,3200,114900,100,300,4800,110100,9.45,-900,-0.08,18.0,23.94,1165600,1710109700
2021-02-16,9006,京急,,,,,,,,1797,,0,3600,1300,46000,900,159100,-157800,-23.28,-48700,-7.19,10.2,0.01,677800,1213923500
2021-02-16,9007,小田急,,,,,,,,3445,,100,0,2100,5900,17900,1099400,-1097300,-217.63,12100,2.40,67.5,0.00,504200,1741545500
2021-02-16,9008,京王,,,,,,,,8710,,100,0,800,6500,2200,446400,-445600,-242.97,-4200,-2.29,72.9,0.00,183400,1599769000
2021-02-16,9009,京成,,,,,,,,3890,,100,0,1600,4100,4100,99200,-97600,-23.25,100,0.02,26.8,0.02,419700,1637073000
2021-02-16,9010,富士急,,,,,,,,5700,,100,0,1000,500,11900,281100,-280100,-357.73,11500,14.69,48.2,0.00,78300,449126000
2021-02-16,9012,秩父鉄道,,,,,,,,2300,,0,0,0,0,0,0,0,,0,,,,0,0
2021-02-16,9014,新京成,,,,,,,,2262,,0,0,500,0,0,400,100,3.45,0,0,10.9,1.25,2900,6517000
2021-02-16,9017,新潟交通,,,,,,,,2053,,0,200,1000,0,0,0,1000,166.67,-200,-33.33,14.0,,600,1231800
2021-02-16,9020,ＪＲ東,,,,,,,,7746,,600,4400,53600,600,600,13500,40100,4.44,-3800,-0.42,13.0,3.97,902400,7016859500
2021-02-16,9021,ＪＲ西,,,,,,,,6361,,600,20300,62500,0,8600,15100,47400,6.00,-11100,-1.40,8.4,4.14,790100,5051588100
2021-02-16,9022,ＪＲ東海,,,,,,,,17290,,500,17200,33400,200,500,14600,18800,3.60,-16400,-3.14,9.5,2.29,522900,9061541000
2021-02-16,9024,西武ホールディングス,,,,,,,,1252,,19900,2100,151600,10000,17000,81300,70300,2.92,24800,1.03,6.7,1.86,2408100,3040763000
2021-02-16,9025,鴻池運輸,,,,,,,,1091,,100,900,8000,0,0,0,8000,10.23,-800,-1.02,19.5,,78200,85375500
2021-02-16,9028,ゼロ,,,,,,,,1023,,0,1000,2500,0,0,0,2500,119.05,-1000,-47.62,6.3,,2100,2143500
2021-02-16,9029,ヒガシ２１,,,,,,,,581,,100,0,3100,0,0,0,3100,43.06,100,1.39,30.4,,7200,4183600
2021-02-16,9031,西鉄,,,,,,,,3110,,0,0,20000,800,400,32200,-12200,-21.07,-400,-0.69,40.5,0.62,57900,180733500
2021-02-16,9033,広電鉄,,,,,,,,979,,0,400,0,0,200,200,-200,-9.09,-200,-9.09,2.3,0,2200,2150600
2021-02-16,9034,南総通運,,,,,,,,1245,,0,0,1900,0,0,0,1900,190.00,0,0,,,1000,1246000
2021-02-16,9036,東部ネット,,,,,,,,940,,0,0,600,0,0,0,600,50.00,0,0,22.0,,1200,1129400
2021-02-16,9037,ハマキョウ,,,,,,,,3220,,0,300,18200,2300,0,2300,15900,49.38,-2600,-8.07,58.6,7.91,32200,104617000
2021-02-16,9039,サカイ引越,,,,,,,,5150,,0,600,700,100,0,1400,-700,-4.32,-700,-4.32,7.2,0.50,16200,83688000
2021-02-16,9041,近鉄ＧＨＤ,,,,,,,,4755,,300,700,1200,11800,700,54200,-53000,-12.87,-11500,-2.79,9.0,0.02,411800,1951760500
2021-02-16,9042,阪急阪神,,,,,,,,3675,,1300,1600,8200,0,700,7900,300,0.09,400,0.12,5.2,1.04,325400,1196569000
2021-02-16,9044,南海電鉄,,,,,,,,2737,,600,300,7100,700,200,23800,-16700,-11.62,-200,-0.14,21.2,0.30,143700,393859800
2021-02-16,9045,京阪ＨＤ,,,,,,,,5150,,0,200,0,600,1700,15300,-15300,-12.71,900,0.75,18.5,0,120400,619241000
2021-02-16,9046,神戸電鉄,,,,,,,,3800,,0,0,400,0,100,500,-100,-3.70,100,3.70,13.6,0.80,2700,10329500
2021-02-16,9048,名鉄,,,,,,,,2873,,0,1600,6500,1700,700,18700,-12200,-5.12,-2600,-1.09,9.3,0.35,238200,686069800
2021-02-16,9049,京福電鉄,,,,,,,,2925,,0,0,0,0,0,0,0,0,0,0,2.0,,300,877500
2021-02-16,9051,センコン物流,,,,,,,,830,,0,100,0,0,0,0,0,0,-100,-2.86,1.0,,3500,2908100
2021-02-16,9052,山陽電鉄,,,,,,,,2014,,0,0,400,0,100,100,300,1.56,100,0.52,5.5,4.00,19200,38781700
2021-02-16,9055,アルプス物,,,,,,,,1018,,400,300,12900,100,0,100,12800,12.30,0,0,25.9,129.00,104100,106881200
2021-02-16,9057,遠州トラック,,,,,,,,3085,,0,200,500,0,0,0,500,3.94,-200,-1.57,12.0,,12700,39949500
2021-02-16,9058,トランコム,,,,,,,,8520,,0,300,2000,0,0,400,1600,28.57,-300,-5.36,5.4,5.00,5600,47964000
2021-02-16,9059,カンダ,,,,,,,,971,,0,0,1500,0,0,0,1500,31.91,0,0,9.7,,4700,4574300
2021-02-16,9060,日ロジテム,,,,,,,,3925,,0,0,100,0,0,0,100,,0,,,,0,0
2021-02-16,9062,日通,,,,,,,,7760,,100,0,1500,3400,5200,39100,-37600,-21.27,1900,1.07,8.0,0.04,176800,1371194000
2021-02-16,9063,岡県運送,,,,,,,,2529,,0,0,1200,0,0,0,1200,300.00,0,0,40.0,,400,1026800
2021-02-16,9064,ヤマトＨＤ,,,,,,,,2881,,0,9900,18900,5600,4100,30300,-11400,-1.11,-11400,-1.11,4.5,0.62,1031400,2977591000
