取引日,銘柄コード,銘柄名,規制,最高料率 臨時倍率,逆日歩(円),逆日歩(%),年率(%),最高料率(円),超過株数,貸借値段(円),品貸日数,日証金 買新規,日証金 買返済,日証金 買残高,日証金 売新規,日証金 売返済,日証金 売残高,日証金 差引残高,差引残高 出来高比(%),差引残高 前日比,前日比 出来高比(%),回転日数,貸借倍率,東証 出来高,東証 売買代金(円)
2022-06-27,1301,極洋,,,,,,,,3410,,100,0,2100,200,0,1600,500,12.82,-100,-2.56,7.1,1.31,3900,13276500
2022-06-27,1305,ＥＴＦ・ＴＰＸ,,,,,,,,2009,,0,320,3010,610,400,2520,490,0.51,-530,-0.55,7.6,1.19,96880,194437105
2022-06-27,1306,ＮＦＴＯＰＩＸ,,,,,,,,1991.5,,70,5000,28270,24010,1880,40850,-12580,-0.83,-27060,-1.78,4.2,0.69,1524070,3027619830
2022-06-27,1308,上場ＴＰＸ,,,,,,,,1966.5,,0,8000,0,9900,5200,44100,-44100,-27.68,-12700,-7.97,8.6,0,159300,313052300
2022-06-27,1309,ＮＦ中国株上証５０,,,,,,,,45400,,0,161,20,21,0,202,-182,-35.27,-182,-35.27,8.9,0.10,516,23470690
2022-06-27,1311,ＮＦＴＰＸ３０,,,,,,,,917.7,,0,0,800,0,0,0,800,20.83,0,0,10.7,,3840,3522525
2022-06-27,1312,ＮＦＲＮ小型コア,,,,,,,,19225,,0,5,0,0,0,5,-5,-41.67,-5,-41.67,2.0,0,12,229850
2022-06-27,1313,ＫＯＤＥＸ２００,売禁,,,,,,,3550,,0,0,0,0,0,0,0,0,0,0,,,110,400140
2022-06-27,1319,ＮＦ日経３００,売禁,,,,,,,344,,0,0,0,0,0,0,0,,0,,,,0,0
2022-06-27,1320,ＥＴＦ・２２５,,,,,,,,27965,,0,0,2235,2790,57,7436,-5201,-9.45,-2733,-4.96,7.8,0.30,55060,1535056330
2022-06-27,1321,ＮＦ日経２２５,,,,,,,,28010,,3298,2609,8429,14851,57,37618,-29189,-15.58,-14105,-7.53,7.5,0.22,187396,5237285070
