取引日,銘柄コード,銘柄名,規制,最高料率 臨時倍率,逆日歩(円),逆日歩(%),年率(%),最高料率(円),超過株数,貸借値段(円),品貸日数,日証金 買新規,日証金 買返済,日証金 買残高,日証金 売新規,日証金 売返済,日証金 売残高,日証金 差引残高,差引残高 出来高比(%),差引残高 前日比,前日比 出来高比(%),回転日数,貸借倍率,東証 出来高,東証 売買代金(円)
2021-03-26,1301,極洋,,,,,,,,3255,,0,100,2400,6900,0,15300,-12900,-26.49,-7000,-14.37,4.9,0.16,48700,158663000
2021-03-26,1305,ＥＴＦ・ＴＰＸ,,,,,,,,2088,,1290,40,9380,2630,230,3180,6200,1.87,-1150,-0.35,3.4,2.95,331420,690085890
2021-03-26,1306,ＮＦＴＯＰＩＸ,,,,,,,,2066,,34990,14470,90140,200,11490,8080,82060,2.82,31810,1.09,2.6,11.16,2914900,6007535930
2021-03-26,1308,上場ＴＰＸ,,,,,,,,2043,,4700,55300,4700,4800,100,60000,-55300,-19.84,-55300,-19.84,4.7,0.08,278800,567920100
2021-03-26,1309,ＮＦ中国株上証５０,,,,,,,,45200,,6,20,184,0,132,166,18,3.97,118,26.05,9.7,1.11,453,20261400
2021-03-26,1311,ＮＦＴＰＸ３０,,,,,,,,917,,0,640,10,0,0,650,-640,-2.44,-640,-2.44,1.4,0.02,26250,23924150
2021-03-26,1312,ＮＦＲＮ小型コア,,,,,,,,22720,,0,30,153,0,16,185,-32,-47.76,-14,-20.90,4.4,0.83,67,1513860
2021-03-26,1313,ＫＯＤＥＸ２００,売禁,,,,,,,4050,,0,70,0,0,0,0,0,0,-70,-63.64,1.0,,110,440150
2021-03-26,1319,日経３００,売禁,,,,,,,383,,0,0,1000,0,0,0,1000,11.11,0,0,,,9000,3449000
2021-03-26,1320,ＥＴＦ・２２５,,,,,,,,30050,,0,103,2984,1346,334,10984,-8000,-9.81,-1115,-1.37,8.7,0.27,81525,2440568820
2021-03-26,1321,ＮＦ日経２２５,,,,,,,,30050,,4166,263,23958,2829,4333,91190,-67232,-23.19,5407,1.87,11.3,0.26,289902,8699885050
2021-03-26,1322,上場パンタ,売禁,,,,,,,8160,,70,0,2370,0,0,0,2370,109.72,70,3.24,10.7,,2160,17626200
2021-03-26,1323,ＮＦ南アフリカ株,,,,,,,,405,,0,1500,500,0,0,4000,-3500,-1166.67,-1500,-500.00,19.0,0.13,300,121200
2021-03-26,1324,ＮＦロシア株,,,,,,,,145,,0,0,1100,300,0,300,800,3.27,-300,-1.22,3.5,3.67,24500,3528300
2021-03-26,1325,ＮＦブラジル株,,,,,,,,164,,200,0,7300,0,0,6600,700,3.55,200,1.02,22.7,1.11,19700,3225400
