取引日,銘柄コード,銘柄名,規制,最高料率 臨時倍率,逆日歩(円),逆日歩(%),年率(%),最高料率(円),超過株数,貸借値段(円),品貸日数,日証金 買新規,日証金 買返済,日証金 買残高,日証金 売新規,日証金 売返済,日証金 売残高,日証金 差引残高,差引残高 出来高比(%),差引残高 前日比,前日比 出来高比(%),回転日数,貸借倍率,東証 出来高,東証 売買代金(円)
2020-09-25,1301,極洋,,,0.05,0.0018,0.6644,11.2,1300,2747,1,1500,3400,3500,300,0,4800,-1300,-4.51,-2200,-7.64,15.2,0.73,28800,78748000
2020-09-25,1305,ＥＴＦ・ＴＰＸ,,,0.5,0.0294,10.7227,7,21360,1702,1,10000,0,19520,960,300,40880,-21360,-8.27,9340,3.62,19.0,0.48,258280,439929750
2020-09-25,1306,ＮＦＴＯＰＩＸ,,,0.5,0.0297,10.8437,7,88670,1683,1,0,550,91260,20000,9880,179930,-88670,-10.37,-10670,-1.25,12.5,0.51,854850,1438209940
2020-09-25,1308,上場ＴＰＸ,,,0.05,0.0030,1.0954,3.4,184200,1666,1,0,0,400,400,15100,184600,-184200,-129.35,14700,10.32,23.2,0.00,142400,237075900
2020-09-25,1309,ＮＦ中国株上証５０,注喚,,,,,180,0,37900,,4,13,545,3,12,545,0,0,0,0,40.0,1.00,40,1515400
2020-09-25,1311,ＮＦＴＰＸ３０,,,0,0,0,6,110,726,1,0,0,190,0,0,300,-110,-3.62,0,0,6.3,0.63,3040,2210370
2020-09-25,1312,ＮＦＲＮ小型コア,,,,,,,,19250,,0,0,0,0,0,0,0,,0,,0,,0,0
2020-09-25,1313,ＫＯＤＥＸ２００,売禁,,,,,,,2770,,0,0,0,0,0,0,0,0,0,0,,,10,27700
2020-09-25,1319,日経３００,売禁,,,,,,,314,,0,0,0,0,0,0,0,,0,,,,0,0
2020-09-25,1320,ＥＴＦ・２２５,,,5,0.0211,7.7004,80,12999,23700,1,190,0,8345,568,980,21344,-12999,-59.04,602,2.73,27.6,0.39,22018,522097140
