取引日,銘柄コード,銘柄名,規制,最高料率 臨時倍率,逆日歩(円),逆日歩(%),年率(%),最高料率(円),超過株数,貸借値段(円),品貸日数,日証金 買新規,日証金 買返済,日証金 買残高,日証金 売新規,日証金 売返済,日証金 売残高,日証金 差引残高,差引残高 出来高比(%),差引残高 前日比,前日比 出来高比(%),回転日数,貸借倍率,東証 出来高,東証 売買代金(円)
2021-05-26,1301,極洋,,,,,,,,2946,,700,0,5900,0,0,0,5900,40.69,700,4.83,26.2,,14500,42634500
2021-05-26,1305,ＥＴＦ・ＴＰＸ,,,,,,,,2038,,400,0,3310,700,890,4730,-1420,-0.61,590,0.25,8.1,0.70,234020,477814880
2021-05-26,1306,ＮＦＴＯＰＩＸ,,,,,,,,2018,,120190,90,155820,6190,3600,41560,114260,4.76,117510,4.90,3.7,3.75,2398880,4837715650
2021-05-26,1308,上場ＴＰＸ,,,,,,,,1993,,100,0,4300,11600,3500,61900,-57600,-27.61,-8000,-3.84,7.6,0.07,208600,415608800
2021-05-26,1309,ＮＦ中国株上証５０,,,,,,,,47050,,0,55,50,49,12,142,-92,-11.36,-92,-11.36,2.7,0.35,810,38039450
2021-05-26,1311,ＮＦＴＰＸ３０,,,,,,,,907,,0,390,2040,0,50,660,1380,21.94,-340,-5.41,5.8,3.09,6290,5698620
2021-05-26,1312,ＮＦＲＮ小型コア,,,,,,,,21700,,21,80,21,0,58,73,-52,-33.33,-1,-0.64,7.2,0.29,156,3399590
2021-05-26,1313,ＫＯＤＥＸ２００,売禁,,,,,,,4100,,0,0,0,0,0,0,0,0,0,0,,,40,164750
2021-05-26,1319,日経３００,売禁,,,,,,,375,,0,0,1000,0,0,0,1000,50.00,0,0,,,2000,747000
2021-05-26,1320,ＥＴＦ・２２５,,,,,,,,29670,,31,67,2520,734,600,1728,792,4.05,-170,-0.87,5.0,1.46,19548,578597990
2021-05-26,1321,ＮＦ日経２２５,,,,,,,,29710,,492,234,19322,907,6708,18050,1272,0.62,6059,2.94,12.2,1.07,206277,6114902790
2021-05-26,1322,上場パンタ,売禁,,,,,,,8610,,0,20,1720,0,0,0,1720,111.69,-20,-1.30,27.2,,1540,13291100
2021-05-26,1323,ＮＦ南アフリカ株,,,,,,,,499,,0,4000,500,0,2200,2300,-1800,-28.57,-1800,-28.57,6.8,0.22,6300,3132100
2021-05-26,1324,ＮＦロシア株,,,,,,,,154,,100,0,6000,0,100,400,5600,84.85,200,3.03,64.8,15.00,6600,1011700
2021-05-26,1325,ＮＦブラジル株,,,,,,,,189,,0,7800,1500,0,200,9100,-7600,-47.80,-7600,-47.80,10.0,0.16,15900,3006400
2021-05-26,1326,ＳＰＤＲゴール,,,,,,,,19380,,0,0,500,89,451,257,243,2.26,362,3.36,3.9,1.95,10775,208655800
2021-05-26,1327,ＥＡＳＹ商品,売禁,,,,,,,3720,,0,0,0,0,0,0,0,0,0,0,,,91,337955
2021-05-26,1328,ＮＦ金価格,,,,,,,,5260,,90,1110,2710,20,30,2540,170,1.32,-1010,-7.83,5.5,1.07,12900,67820900
2021-05-26,1329,ｉＳ２２５,,,,,,,,29710,,0,0,880,17,96,692,188,0.78,79,0.33,12.9,1.27,24132,715083760
2021-05-26,1330,上場２２５,,,,,,,,29770,,0,400,1620,1790,410,20230,-18610,-41.73,-1780,-3.99,19.8,0.08,44600,1327042600
2021-05-26,1332,日水,,,,,,,,511,,1500,12900,58700,0,900,8200,50500,4.87,-10500,-1.01,13.4,7.16,1036900,529425300
2021-05-26,1333,マルハニチロ,,,,,,,,2430,,1300,700,16500,0,0,300,16200,12.37,600,0.46,15.7,55.00,131000,319140000
2021-05-26,1343,ＮＦＪ－ＲＥＩＴ,,,,,,,,2218,,0,1300,16450,150,1600,2400,14050,5.35,150,0.06,11.6,6.85,262490,581800660
2021-05-26,1344,ＭＸＳコア３０,,,,,,,,878,,290,0,300,0,0,0,300,53.57,290,51.79,2.1,,560,493010
2021-05-26,1345,上場Ｊリート,,,,,,,,2099,,0,2500,5700,2600,0,10800,-5100,-3.76,-5100,-3.76,8.1,0.53,135600,284194100
2021-05-26,1346,ＭＸＳ２２５,,,,,,,,29690,,54,30,749,150,18,1158,-409,-3.00,-108,-0.79,15.6,0.65,13635,404502370
2021-05-26,1348,ＭＸＳトピクス,,,,,,,,2001,,0,190,970,0,390,20,950,1.36,200,0.29,3.7,48.50,69940,139752960
2021-05-26,1349,アジア債券,売禁,,,,,,,13450,,0,0,0,0,0,0,0,0,0,0,,,22,295540
2021-05-26,1352,ホウスイ,,,,,,,,960,,0,0,400,0,0,0,400,100.00,0,0,,,400,384300
2021-05-26,1356,ＴＰダブルインバース,,,,,,,,1190,,310,0,102860,3340,310,18830,84030,51.95,-2720,-1.68,28.8,5.46,161750,192751180
2021-05-26,1357,ＮＦ日経ダブインバ,,,,,,,,425,,831826,775990,6511815,0,121790,2687829,3823986,10.33,177626,0.48,12.0,2.42,37026359,15767775388
2021-05-26,1358,上場日経２倍,,,,,,,,29010,,57,96,1039,14,0,25,1014,6.90,-53,-0.36,8.1,41.56,14702,426304340
2021-05-26,1360,ダブルインバース日経,,,,,,,,1035,,60670,3430,374180,2290,20,2460,371720,5.98,54970,0.88,23.8,152.11,6219120,6459470900
2021-05-26,1364,ｉＳＪＰＸ日経４００,,,,,,,,17830,,0,40,0,20,6,104,-104,-55.61,-54,-28.88,6.9,0,187,3332690
2021-05-26,1365,大和２２５ダブル,,,,,,,,24010,,483,290,1903,700,0,700,1203,3.22,-507,-1.36,6.3,2.72,37351,893520270
2021-05-26,1366,大和２２５ダブルベア,,,,,,,,1110,,50,190,12640,100,475,4545,8095,2.05,235,0.06,5.9,2.78,394624,438839327
2021-05-26,1367,大和ＴＰＸダブル,,,,,,,,18110,,13,34,3156,320,79,912,2244,22.98,-262,-2.68,39.3,3.46,9765,176866430
2021-05-26,1368,大和ＴＰＸダブルベア,,,,,,,,1728,,0,0,33520,0,601,2105,31415,41.02,601,0.78,61.9,15.92,76590,132395928
2021-05-26,1369,Ｏｎｅ・日経２２５,,,,,,,,28860,,12,252,228,0,0,707,-479,-126.39,-240,-63.32,24.5,0.32,379,10904620
2021-05-26,1375,雪国まいたけ,,,,,,,,1796,,600,0,1500,0,0,0,1500,0.85,600,0.34,4.8,,176200,317858800
2021-05-26,1376,カネコ種苗,,,,,,,,1545,,0,0,100,0,0,0,100,1.85,0,0,,,5400,8354000
2021-05-26,1377,サカタのタネ,,,,,,,,3720,,0,300,1100,11200,0,19900,-18800,-4.86,-11500,-2.98,3.3,0.06,386500,1437623500
2021-05-26,1379,ホクト,,,,,,,,1954,,1100,0,20400,0,100,600,19800,16.81,1200,1.02,65.4,34.00,117800,230215900
2021-05-26,1380,秋川牧園,,,,,,,,1138,,0,0,0,0,0,0,0,0,0,0,,,1000,1144200
2021-05-26,1381,アクシーズ,,,,,,,,3400,,0,0,500,0,0,0,500,100.00,0,0,3.7,,500,1701500
2021-05-26,1382,ホーブ,,,,,,,,949,,0,0,600,0,0,0,600,37.50,0,0,,,1600,1516000
2021-05-26,1383,ベルグアース,,,,,,,,2423,,0,0,800,0,0,0,800,66.67,0,0,80.0,,1200,2911100
2021-05-26,1384,ホクリヨウ,,,,,,,,700,,0,0,80300,0,0,0,80300,2113.16,0,0,2670.7,,3800,2667900
2021-05-26,1385,ＵＢＳユーロ圏株５０,売禁,,,,,,,5500,,91,20,345,0,0,0,345,109.18,71,22.47,6.5,,316,1735830
2021-05-26,1386,ＵＢＳ欧州株,売禁,,,,,,,9780,,0,0,5,0,0,0,5,10.42,0,0,5.6,,48,468920
2021-05-26,1387,ＵＢＳユーロ圏株,注喚,,,,,,,19680,,0,140,0,0,51,81,-81,-100.00,-89,-109.88,10.4,0,81,1593360
2021-05-26,1388,ＵＢＳユーロ圏小型株,売禁,,,,,,,16500,,6,15,9,0,0,0,9,56.25,-9,-56.25,2.8,,16,265950
2021-05-26,1389,ＵＢＳ英国大型１００,注喚,,,,,,,10120,,1,22,179,4,13,68,111,222.00,-12,-24.00,18.4,2.63,50,506550
2021-05-26,1390,ＵＢＳアジア太平洋株,売禁,,,,,,,5500,,0,4,5,0,0,0,5,19.23,-4,-15.38,2.4,,26,143080
2021-05-26,1391,ＵＢＳスイス株,注喚,,,,,,,2682,,1,0,49,0,0,0,49,31.41,1,0.64,10.7,,156,418014
2021-05-26,1392,ＵＢＳ英国株,注喚,,,,,,,2708,,0,5,367,0,0,117,250,304.88,-5,-6.10,33.6,3.14,82,222413
2021-05-26,1393,ＵＢＳ米国株,売禁,,,,,,,45050,,52,0,78,0,0,0,78,780.00,52,520.00,4.8,,10,450850
2021-05-26,1394,ＵＢＳ先進国株,注喚,,,,,,,33350,,0,0,5,0,0,7,-2,,0,,30.0,0.71,0,0
2021-05-26,1397,ＳＭＤＡＭ　２２５,,,,,,,,28680,,0,0,2,0,0,13,-11,-1100.00,0,0,150.0,0.15,1,28680
2021-05-26,1398,ＳＭＤＡＭ　Ｊリート,,,,,,,,2119,,0,0,0,0,0,0,0,0,0,0,,,100,211810
2021-05-26,1399,上場高配当低ボラ,,,,,,,,1561,,0,0,0,0,0,0,0,,0,,,,0,0
2021-05-26,1400,ルーデン,,,,,,,,313,,0,0,65700,0,0,0,65700,192.67,0,0,,,34100,10699000
2021-05-26,1401,エムビーエス,,,,,,,,534,,0,0,6100,0,0,0,6100,101.67,0,0,608.0,,6000,3213200
2021-05-26,1407,ウエストＨＤ,,,,,,,,3380,,200,700,62400,100,0,100,62300,46.35,-600,-0.45,18.6,624.00,134400,459732000
2021-05-26,1413,ヒノキヤグループ,,,,,,,,2500,,0,400,1100,0,0,0,1100,6.15,-400,-2.23,10.0,,17900,44867200
