取引日,銘柄コード,銘柄名,規制,最高料率 臨時倍率,逆日歩(円),逆日歩(%),年率(%),最高料率(円),超過株数,貸借値段(円),品貸日数,日証金 買新規,日証金 買返済,日証金 買残高,日証金 売新規,日証金 売返済,日証金 売残高,日証金 差引残高,差引残高 出来高比(%),差引残高 前日比,前日比 出来高比(%),回転日数,貸借倍率,東証 出来高,東証 売買代金(円)
2021-02-22,1301,極洋,,,,,,,,3050,,100,0,3300,0,0,500,2800,22.58,100,0.81,9.9,6.60,12400,37781500
2021-02-22,1305,ＥＴＦ・ＴＰＸ,,,,,,,,2037,,500,2850,7490,190,500,40070,-32580,-7.13,-2040,-0.45,23.2,0.19,457240,935630340
2021-02-22,1306,ＮＦＴＯＰＩＸ,,,,,,,,2014,,4190,4120,21780,850,9070,13490,8290,0.62,8290,0.62,2.9,1.61,1330980,2692073070
2021-02-22,1308,上場ＴＰＸ,,,,,,,,1994,,0,0,0,400,13700,111500,-111500,-49.29,13300,5.88,19.1,0,226200,453253600
2021-02-22,1309,ＮＦ中国株上証５０,,,,,,,,48050,,21,261,99,50,15,374,-275,-29.70,-275,-29.70,6.0,0.26,926,44886200
2021-02-22,1311,ＮＦＴＰＸ３０,,,,,,,,914,,30,0,340,0,60,430,-90,-0.80,90,0.80,2.6,0.79,11290,10373630
2021-02-22,1312,ＮＦＲＮ小型コア,,,,,,,,21370,,0,18,5,1,1,121,-116,-117.17,-18,-18.18,34.3,0.04,99,2115080
2021-02-22,1313,ＫＯＤＥＸ２００,売禁,,,,,,,4150,,0,0,0,0,0,0,0,0,0,0,,,20,83000
2021-02-22,1319,日経３００,売禁,,,,,,,375,,1000,0,1000,0,0,0,1000,10.00,1000,10.00,0.7,,10000,3768000
2021-02-22,1320,ＥＴＦ・２２５,,,,,,,,31050,,171,374,5792,556,540,20428,-14636,-63.41,-219,-0.95,18.6,0.28,23081,719235450
2021-02-22,1321,ＮＦ日経２２５,,,,,,,,31050,,2164,1483,46129,691,9777,129003,-82874,-49.91,9767,5.88,17.7,0.36,166061,5189119500
2021-02-22,1322,上場パンタ,売禁,,,,,,,9820,,50,40,1800,0,0,0,1800,43.58,10,0.24,8.1,,4130,40673600
2021-02-22,1323,ＮＦ南アフリカ株,,,,,,,,404,,0,600,700,100,0,3900,-3200,-88.89,-700,-19.44,9.9,0.18,3600,1448900
2021-02-22,1324,ＮＦロシア株,,,,,,,,142,,100,700,500,0,0,1100,-600,-2.60,-600,-2.60,3.6,0.45,23100,3305200
2021-02-22,1325,ＮＦブラジル株,,,,,,,,169,,0,7600,8100,0,0,15700,-7600,-25.94,-7600,-25.94,24.0,0.52,29300,4971000
2021-02-22,1326,ＳＰＤＲゴール,,,,,,,,17730,,0,48,334,0,0,0,334,1.77,-48,-0.25,9.5,,18853,333283250
2021-02-22,1327,ＥＡＳＹ商品,売禁,,,,,,,3420,,0,0,0,0,0,0,0,0,0,0,,,177,604780
2021-02-22,1328,ＮＦ金価格,,,,,,,,4810,,110,80,13160,290,0,4560,8600,53.32,-260,-1.61,17.7,2.89,16130,77475150
2021-02-22,1329,ｉＳ２２５,,,,,,,,31050,,0,0,474,483,210,3963,-3489,-33.17,-273,-2.60,8.9,0.12,10520,329007100
2021-02-22,1330,上場２２５,,,,,,,,31150,,0,0,0,630,980,69200,-69200,-390.96,350,1.98,31.9,0,17700,553145000
2021-02-22,1332,日水,,,,,,,,502,,8700,10500,107400,15300,100,17300,90100,7.20,-17000,-1.36,10.6,6.21,1251900,630311100
2021-02-22,1333,マルハニチロ,,,,,,,,2480,,300,100,7600,100,100,1100,6500,3.64,200,0.11,14.3,6.91,178500,442398000
2021-02-22,1343,ＮＦＪ－ＲＥＩＴ,,,,,,,,2084,,19130,101070,86000,1670,1170,261980,-175980,-42.73,-82440,-20.02,11.3,0.33,411820,859401130
2021-02-22,1344,ＭＸＳコア３０,,,,,,,,845,,40,0,50,0,0,0,50,2.44,40,1.95,1.1,,2050,1725250
2021-02-22,1345,上場Ｊリート,,,,,,,,1971,,0,1700,8800,1100,0,45700,-36900,-104.24,-2800,-7.91,16.6,0.19,35400,69997000
2021-02-22,1346,ＭＸＳ２２５,,,,,,,,31050,,10,0,667,179,448,4454,-3787,-16.88,279,1.24,5.7,0.15,22436,700269200
2021-02-22,1348,ＭＸＳトピクス,,,,,,,,1999,,0,360,1290,340,150,1840,-550,-1.49,-550,-1.49,5.8,0.70,36890,74092590
2021-02-22,1349,アジア債券,売禁,,,,,,,13140,,0,0,0,0,0,0,0,0,0,0,,,112,1466700
2021-02-22,1352,ホウスイ,,,,,,,,963,,300,0,900,0,0,0,900,50.00,300,16.67,5.3,,1800,1708100
2021-02-22,1356,ＴＰダブルインバース,,,,,,,,1218,,70000,3540,96330,70,0,80,96250,22.08,66390,15.23,4.9,1204.13,435940,526730360
2021-02-22,1357,ＮＦ日経ダブインバ,,,,,,,,403,,17913,1159324,7323671,49402,13206,2506746,4816925,8.64,-1177607,-2.11,19.5,2.92,55752687,22229615916
2021-02-22,1358,上場日経２倍,,,,,,,,32150,,17,506,562,109,173,1357,-795,-5.12,-425,-2.74,4.4,0.41,15513,503992550
2021-02-22,1360,ダブルインバース日経,,,,,,,,979,,42510,1120,711070,290700,5280,518430,192640,3.23,-244030,-4.09,8.0,1.37,5972640,5795743160
2021-02-22,1364,ｉＳＪＰＸ日経４００,,,,,,,,17810,,0,0,10,0,0,250,-240,-81.91,0,0,216.8,0.04,293,5261370
2021-02-22,1365,大和２２５ダブル,,,,,,,,26630,,194,1471,1094,1323,379,4765,-3671,-5.60,-2221,-3.39,4.9,0.23,65511,1758788600
2021-02-22,1366,大和２２５ダブルベア,,,,,,,,1052,,10640,2117,43780,0,0,5050,38730,6.66,8523,1.47,9.4,8.67,581561,605095471
2021-02-22,1367,大和ＴＰＸダブル,,,,,,,,18280,,82,191,1105,7,0,1221,-116,-1.95,-116,-1.95,4.6,0.90,5935,109462460
2021-02-22,1368,大和ＴＰＸダブルベア,,,,,,,,1771,,152,160,29259,0,0,0,29259,33.45,-8,-0.01,78.5,,87471,153657922
2021-02-22,1369,Ｏｎｅ・日経２２５,,,,,,,,30200,,0,40,272,35,49,433,-161,-76.67,-26,-12.38,15.2,0.63,210,6376050
2021-02-22,1375,雪国まいたけ,,,,,,,,1768,,100,200,18100,0,0,0,18100,7.78,-100,-0.04,119.7,,232500,412813500
2021-02-22,1376,カネコ種苗,,,,,,,,1597,,200,0,600,0,0,0,600,28.57,200,9.52,22.0,,2100,3347600
2021-02-22,1377,サカタのタネ,,,,,,,,3880,,0,1400,2100,0,900,6600,-4500,-13.43,-500,-1.49,7.2,0.32,33500,130255500
2021-02-22,1379,ホクト,,,,,,,,2145,,1600,300,6300,200,1000,900,5400,5.37,2100,2.09,9.8,7.00,100600,216365000
2021-02-22,1380,秋川牧園,,,,,,,,1218,,1200,0,1800,0,0,0,1800,32.14,1200,21.43,5.3,,5600,6796800
2021-02-22,1381,アクシーズ,,,,,,,,3280,,400,0,1100,0,0,0,1100,220.00,400,80.00,8.6,,500,1641000
2021-02-22,1382,ホーブ,,,,,,,,910,,800,0,1000,0,0,0,1000,500.00,800,400.00,3.1,,200,182000
2021-02-22,1383,ベルグアース,,,,,,,,2479,,0,0,2200,0,0,0,2200,84.62,0,0,36.3,,2600,6442200
2021-02-22,1384,ホクリヨウ,,,,,,,,679,,0,0,70300,0,0,0,70300,644.95,0,0,140.6,,10900,7393900
2021-02-22,1385,ＵＢＳユーロ圏株５０,売禁,,,,,,,4745,,211,0,241,0,0,0,241,44.06,211,38.57,2.4,,547,2578735
2021-02-22,1386,ＵＢＳ欧州株,売禁,,,,,,,8550,,33,5,89,0,0,0,89,7.22,28,2.27,5.0,,1232,10423080
2021-02-22,1387,ＵＢＳユーロ圏株,注喚,,,,,,,17280,,3,26,51,1,0,76,-25,-40.98,-24,-39.34,28.4,0.67,61,1054680
2021-02-22,1388,ＵＢＳユーロ圏小型株,売禁,,,,,,,14960,,0,0,2,0,0,0,2,66.67,0,0,10.0,,3,44880
2021-02-22,1389,ＵＢＳ英国大型１００,注喚,,,,,,,9190,,0,0,174,0,0,0,174,7.79,0,0,2.3,,2235,20505320
2021-02-22,1390,ＵＢＳアジア太平洋株,売禁,,,,,,,5020,,1,0,62,0,0,0,62,6.07,1,0.10,4.3,,1021,5042680
2021-02-22,1391,ＵＢＳスイス株,注喚,,,,,,,2420,,13,0,21,0,0,9,12,5.97,13,6.47,6.2,2.33,201,486630
2021-02-22,1392,ＵＢＳ英国株,注喚,,,,,,,2545,,0,202,1292,0,0,105,1187,79.08,-202,-13.46,19.0,12.30,1501,3888167
2021-02-22,1393,ＵＢＳ米国株,売禁,,,,,,,41350,,0,0,0,0,0,0,0,0,0,0,1.6,,41,1704600
2021-02-22,1394,ＵＢＳ先進国株,注喚,,,,,,,30350,,0,0,1,0,0,2,-1,,0,,28.0,0.50,0,0
2021-02-22,1397,ＳＭＤＡＭ　２２５,,,,,,,,30550,,19,0,25,0,0,7,18,300.00,19,316.67,3.1,3.57,6,183050
2021-02-22,1398,ＳＭＤＡＭ　Ｊリート,,,,,,,,1995,,0,0,0,0,0,0,0,0,0,0,,,140,279030
2021-02-22,1399,上場高配当低ボラ,,,,,,,,1544,,0,0,0,0,0,0,0,0,0,0,,,140,217080
2021-02-22,1400,ルーデン,,,,,,,,416,,2500,1500,8200,0,0,0,8200,0.54,1000,0.07,3.0,,1514300,620095500
2021-02-22,1401,エムビーエス,,,,,,,,616,,0,900,8700,0,0,0,8700,59.59,-900,-6.16,25.2,,14600,9008700
2021-02-22,1407,ウエストＨＤ,注喚,,,,,,,3905,,17200,22000,275700,1100,0,1700,274000,97.79,-5900,-2.11,9.3,162.18,280200,1079054500
2021-02-22,1413,ヒノキヤグループ,,,,,,,,2191,,600,0,1200,0,0,0,1200,4.71,600,2.35,7.0,,25500,56220500
2021-02-22,1414,ショーボンド,,,,,,,,4730,,0,400,36500,0,0,0,36500,19.91,-400,-0.22,65.7,,183300,868913500
2021-02-22,1417,ミライトＨＤ,,,,,,,,1712,,1000,100,50700,0,600,2000,48700,20.58,1500,0.63,29.8,25.35,236600,406741900
2021-02-22,1418,インターライフ,,,,,,,,240,,6700,14900,56900,0,0,85900,-29000,-64.30,-8200,-18.18,25.8,0.66,45100,10738900
2021-02-22,1419,タマホーム,,,,,,,,1898,,0,0,5100,3400,14600,286400,-281300,-200.93,11200,8.00,23.0,0.02,140000,267282000
2021-02-22,1420,サンヨーＨ,,,,,,,,818,,0,2900,32800,1500,0,13100,19700,214.13,-4400,-47.83,36.2,2.50,9200,7529100
2021-02-22,1429,日本アクア,,,,,,,,632,,100,100,18600,600,0,6200,12400,27.25,-600,-1.32,25.0,3.00,45500,28594300
2021-02-22,1430,ファーストコーポ,,,,,,,,698,,500,300,1000,0,100,400,600,4.32,300,2.16,4.6,2.50,13900,9706100
2021-02-22,1431,リブワーク,,,,,,,,1877,,0,0,3800,0,0,0,3800,15.02,0,0,39.6,,25300,47020900
2021-02-22,1433,ベステラ,,,,,,,,1749,,800,0,18100,1200,500,13000,5100,16.24,100,0.32,8.1,1.39,31400,54487000
2021-02-22,1434,ＪＥＳＣＯ　ＨＤ,,,,,,,,617,,5000,1000,20000,0,0,0,20000,27.66,4000,5.53,7.2,,72300,44231900
