取引日,銘柄コード,銘柄名,規制,最高料率 臨時倍率,逆日歩(円),逆日歩(%),年率(%),最高料率(円),超過株数,貸借値段(円),品貸日数,日証金 買新規,日証金 買返済,日証金 買残高,日証金 売新規,日証金 売返済,日証金 売残高,日証金 差引残高,差引残高 出来高比(%),差引残高 前日比,前日比 出来高比(%),回転日数,貸借倍率,東証 出来高,東証 売買代金(円)
2020-12-25,1301,極洋,,,,,,,,2916,,100,0,2600,300,0,1900,700,8.43,-200,-2.41,11.5,1.37,8300,24222800
2020-12-25,1305,ＥＴＦ・ＴＰＸ,,,0,0,0,7,12670,1868,1,500,0,3000,240,920,15670,-12670,-34.59,1180,3.22,9.0,0.19,36630,68401380
2020-12-25,1306,ＮＦＴＯＰＩＸ,,,0,0,0,7,7150,1845,1,9630,5750,38030,0,15770,45180,-7150,-1.48,19650,4.08,5.7,0.84,481980,889607270
2020-12-25,1308,上場ＴＰＸ,,,0.05,0.0027,0.9989,3.8,167100,1827,1,0,0,0,2800,700,167100,-167100,-153.02,-2100,-1.92,52.9,0,109200,199286400
2020-12-25,1309,ＮＦ中国株上証５０,注喚,,,,,200,0,42000,,28,9,726,19,0,726,0,0,0,0,39.5,1.00,362,15127650
2020-12-25,1311,ＮＦＴＰＸ３０,,,0,0,0,6,70,823,1,0,0,200,0,0,270,-70,-8.86,0,0,7.9,0.74,790,649530
2020-12-25,1312,ＮＦＲＮ小型コア,,,5,0.0249,9.0751,80,81,20110,1,2,0,12,0,0,93,-81,-1620.00,2,40.00,25.6,0.13,5,100260
2020-12-25,1313,ＫＯＤＥＸ２００,売禁,,,,,,,3540,,0,0,0,0,0,0,0,0,0,0,6.0,,40,140200
2020-12-25,1319,日経３００,売禁,,,,,,,333,,0,0,0,0,0,0,0,0,0,0,,,1000,333000
2020-12-25,1320,ＥＴＦ・２２５,,,5,0.0182,6.6606,80,12557,27400,1,775,87,7125,83,645,19682,-12557,-20.64,1250,2.06,22.6,0.36,60824,1665828860
2020-12-25,1321,ＮＦ日経２２５,,,5,0.0182,6.6485,80,182828,27450,1,3296,0,24185,5246,1334,207013,-182828,-287.80,-616,-0.97,41.1,0.12,63526,1744264460
2020-12-25,1322,上場パンタ,売禁,,,,,,,7730,,10,0,780,0,0,0,780,205.26,10,2.63,24.3,,380,2925600
2020-12-25,1323,ＮＦ南アフリカ株,,,0.05,0.0132,4.8026,0.9,600,380,1,0,0,800,600,0,1400,-600,-15.38,-600,-15.38,5.8,0.57,3900,1477900
2020-12-25,1324,ＮＦロシア株,,,,,,,,135,,100,100,10200,100,0,500,9700,44.50,-100,-0.46,28.2,20.40,21800,2943800
2020-12-25,1325,ＮＦブラジル株,,,0,0,0,0.7,17900,172,1,100,6000,18300,0,1100,36200,-17900,-44.31,-4800,-11.88,32.5,0.51,40400,7054600
2020-12-25,1326,ＳＰＤＲゴール,,,,,,,,18260,,48,0,698,0,0,0,698,11.10,48,0.76,36.0,,6290,114802750
2020-12-25,1327,ＥＡＳＹ商品,売禁,,,,,,,2924,,0,2,0,0,0,0,0,0,-2,-1.52,6.8,,132,383450
2020-12-25,1328,ＮＦ金価格,,,,,,,,4990,,0,90,8960,80,0,420,8540,105.04,-170,-2.09,18.1,21.33,8130,40658400
2020-12-25,1329,ｉＳ２２５,,,0,0,0,80,4087,27590,1,71,0,2148,21,0,6235,-4087,-57.09,50,0.70,30.8,0.34,7159,197442120
2020-12-25,1330,上場２２５,,,1,0.0036,1.3263,56,65180,27520,1,2160,0,2160,80,16860,67340,-65180,-171.39,18940,49.80,20.4,0.03,38030,1046108700
2020-12-25,1332,日水,,,,,,,,423,,6900,22800,129900,0,0,1000,128900,16.04,-15900,-1.98,23.7,129.90,803600,339012800
2020-12-25,1333,マルハニチロ,,,,,,4.4,0,2189,,700,700,11900,0,0,11900,0,0,0,0,14.0,1.00,84700,185282900
2020-12-25,1343,ＮＦＪ－ＲＥＩＴ,,,0.5,0.0270,9.8383,7,152070,1855,1,9150,6860,197550,5250,0,349620,-152070,-57.52,-2960,-1.12,22.6,0.57,264390,492190000
