権利付最終日,銘柄コード,銘柄名,市場,貸借,始値,始値/前日終値,前日出来高,時価総額,発行株数,PER,PBR,単位,逆日歩_料率,逆日歩_日数,日証金_当日買い残高,日証金_当日買い新規,日証金_当日売り残高,日証金_当日売り新規,日証金_当日残高倍率,日証金_前日買い残高,日証金_前日買い新規,日証金_前日売り残高,日証金_前日売り新規,日証金_前日残高倍率,逆日歩確報
2013-02-15,2778,パレモ・ホールディングス,東2,貸借,377.0,1.0344827586206895,42900.0,4543370000.0,12051379.310344828,4.41,0.66,100,6.0,1,,,,,,,,,,,6.0
2013-02-15,3333,あさひ,東1,制度,1224.0,0.9910130718954248,52500.0,32118730000.0,26240792.48366013,14.79,1.97,100,0.0,1,24300.0,700.0,0.0,0.0,-1.0,27800.0,2600.0,0.0,0.0,-1.0,0.0
2013-02-15,7545,西松屋チェーン,東1,貸借,751.0,1.0066577896138482,122700.0,52261230000.0,69588854.86018641,14.33,1.03,100,0.75,1,8600.0,100.0,0.0,0.0,-1.0,16300.0,4000.0,0.0,0.0,-1.0,0.75
2013-02-15,8217,オークワ,東1,貸借,1054.0,1.0047438330170777,16000.0,47680110000.0,45237296.01518027,31.89,0.6,100,0.1,1,0.0,0.0,42000.0,40000.0,0.0,0.0,0.0,2000.0,2000.0,0.0,0.1
2013-02-15,8227,しまむら,東1,貸借,9080.0,0.9801762114537445,126300.0,335172750000.0,36913298.45814978,12.18,1.35,100,0.55,1,3100.0,0.0,127600.0,125600.0,0.02,4800.0,600.0,8100.0,400.0,0.59,0.55
2013-02-15,8276,平和堂,東1,貸借,1296.0,1.0061728395061729,135000.0,75876220000.0,58546466.04938272,13.73,0.66,100,1.0,1,0.0,0.0,1071500.0,1031500.0,0.0,0.0,0.0,40000.0,25300.0,0.0,1.0
2013-02-15,9843,ニトリホールディングス,東1,貸借,3340.0,1.0119760479041915,488300.0,382241270000.0,114443494.01197603,10.67,1.83,100,0.2,1,77400.0,32800.0,163800.0,148200.0,0.47,80000.0,6100.0,23000.0,4000.0,3.48,0.2
2013-02-15,9976,セキチュー,JQS,制度,904.0,1.0,1500.0,5049870000.0,5586139.380530974,36.53,0.49,100,0.0,1,,,,,,,,,,,0.0
2013-02-25,1418,インターライフホールディングス,JQS,貸借,219.0,1.0091324200913243,80200.0,3288310000.0,15015114.155251142,6.91,1.08,100,0.0,1,,,,,,,,,,,0.0
2013-02-25,2178,トライステージ,東M,制度,246.0,0.9959349593495936,2800.0,7453500000.0,30298780.48780488,30.03,0.89,100,0.0,1,58000.0,800.0,0.0,0.0,-1.0,57200.0,0.0,0.0,0.0,-1.0,0.0
2013-02-25,2292,Ｓ　ＦＯＯＤＳ,東1,貸借,894.0,1.0,66000.0,28847340000.0,32267718.12080537,11.51,0.79,100,1.0,1,12000.0,0.0,365500.0,292500.0,0.03,12000.0,4000.0,77000.0,28500.0,0.16,1.0
2013-02-25,2294,柿安本店,東1,貸借,1323.0,0.9939531368102796,27900.0,16466980000.0,12446696.900982615,12.58,1.25,100,0.0,1,,,,,,,,,,,0.0
2013-02-25,2300,きょくとう,JQS,制度,448.0,0.984375,7300.0,2486950000.0,5551227.678571428,21.86,0.7,100,0.0,1,,,,,,,,,,,0.0
2013-02-25,2337,いちご,東1,貸借,105.0,1.0285714285714285,2076800.0,47526410000.0,452632476.1904762,29.03,1.67,100,0.0,1,,,,,,,,,,,0.0
2013-02-25,2379,ディップ,東1,貸借,50.0,0.98,78500.0,3090500000.0,61810000.0,50.1,0.89,100,0.0,1,168000.0,7000.0,1500.0,1500.0,112.0,209500.0,1000.0,3000.0,3000.0,69.83,0.0
2013-02-25,2653,イオン九州,JQS,制度,1720.0,1.0,2900.0,32314700000.0,18787616.279069766,46.83,1.52,100,0.0,1,,,,,,,,,,,0.0
2013-02-25,2659,サンエー,東1,貸借,1890.0,0.9962962962962963,76000.0,60445320000.0,31981650.793650795,10.8,0.84,100,3.65,1,0.0,0.0,255200.0,246800.0,0.0,9800.0,0.0,8400.0,200.0,1.17,3.65
2013-02-25,2668,タビオ,東2,制度,868.0,0.9965437788018432,11500.0,5914440000.0,6813870.967741936,16.79,1.13,100,0.0,1,,,,,,,,,,,0.0
2013-02-25,2669,カネ美食品,JQS,貸借,2965.0,0.9949409780775716,400.0,29650000000.0,10000000.0,28.62,1.2,100,0.0,1,,,,,,,,,,,0.0
2013-02-25,2670,エービーシー・マート,東1,貸借,3370.0,1.0014836795252229,201200.0,253742220000.0,75294427.29970327,14.67,2.32,100,0.0,1,56300.0,0.0,56300.0,26900.0,1.0,98200.0,23100.0,29500.0,9700.0,3.33,0.0
2013-02-25,2685,アダストリア,東1,貸借,1633.0,0.9969381506429884,167320.0,79666000000.0,48785058.17513778,14.46,2.06,100,5.0,1,4500.0,0.0,305760.0,250920.0,0.01,14880.0,240.0,54840.0,7460.0,0.27,5.0
2013-02-25,2686,ジーフット,東1,制度,316.0,0.9968354430379748,6000.0,13177940000.0,41702341.772151895,7.97,0.8,100,0.0,1,,,,,,,,,,,0.0
2013-02-25,2687,シー・ヴイ・エス・ベイエリア,東1,貸借,810.0,1.0,8900.0,4101840000.0,5064000.0,-1.0,1.5,100,0.0,1,41800.0,1300.0,20500.0,100.0,2.04,63800.0,1900.0,20400.0,0.0,3.13,0.0
2013-02-25,2706,ブロッコリー,JQS,制度,1165.0,0.927038626609442,843800.0,7625200000.0,6545236.051502146,8.69,4.25,100,0.0,1,,,,,,,,,,,0.0
2013-02-25,2726,パルグループホールディングス,東1,貸借,1058.0,0.9886578449905482,140800.0,48932640000.0,46250132.32514178,11.13,1.67,100,0.0,1,17500.0,1400.0,0.0,0.0,-1.0,21000.0,0.0,0.0,0.0,-1.0,0.0
2013-02-25,2742,ハローズ,東1,制度,752.0,1.0106382978723405,4200.0,13644280000.0,18143989.36170213,9.69,0.97,100,0.0,1,,,,,,,,,,,0.0
2013-02-25,2747,北雄ラッキー,JQS,制度,2515.0,0.9880715705765408,1600.0,3180570000.0,1264640.1590457256,17.15,0.75,100,0.0,1,,,,,,,,,,,0.0
2013-02-25,2789,カルラ,JQS,制度,371.0,1.0080862533692725,10300.0,2233830000.0,6021105.121293801,9.96,0.74,100,0.0,1,,,,,,,,,,,0.0
2013-02-25,2798,ワイズテーブルコーポレーション,東2,制度,1077.0,0.9842154131847726,11300.0,2865780000.0,2660891.364902507,5.6,3.25,100,0.0,1,2600.0,0.0,0.0,0.0,-1.0,3600.0,800.0,0.0,0.0,-1.0,0.0
2013-02-25,2882,イートアンドホールディングス,東1,貸借,547.0,1.0091407678244972,40000.0,4173110000.0,7629085.92321755,9.69,1.33,100,0.0,1,1200.0,0.0,0.0,0.0,-1.0,1200.0,0.0,0.0,0.0,-1.0,0.0
2013-02-25,2884,ヨシムラ・フード・ホールディングス,東1,制度,,,,,,,,100,0.0,1,,,,,,,,,,,0.0
2013-02-25,2918,わらべや日洋ホールディングス,東1,貸借,1485.0,0.9966329966329966,156700.0,24689100000.0,16625656.565656565,11.42,0.67,100,2.15,1,34700.0,2500.0,389100.0,386200.0,0.09,43300.0,0.0,2900.0,1600.0,14.93,2.15
2013-02-25,2925,ピックルスコーポレーション,東1,制度,545.0,0.9981651376146792,4600.0,3486910000.0,6398000.0,6.11,0.51,100,0.0,1,,,,,,,,,,,0.0
2013-02-25,2927,ＡＦＣ−ＨＤアムスライフサイエンス,JQS,制度,729.0,1.0013717421124828,4400.0,8886300000.0,12189711.93415638,15.52,1.41,100,0.0,1,,,,,,,,,,,0.0
